param	ns	:=	100	;																																																																																																		
param	zp	:=	3025	;																																																																																																		
param	totalvariance	:=	0.039002698	;																																																																																																		
param cpmax :=	5043
;
																																																																																																		
param	vcoef:=																																																																																																					
1	0.0000000																																																																																																					
2	0.0000112																																																																																																					
3	0.0005494																																																																																																					
4	0.0022167																																																																																																					
5	0.0350715																																																																																																					
6	0.1781078																																																																																																					
7	0.2898480																																																																																																					
8	0.3791149																																																																																																					
9	0.4416355																																																																																																					
10	0.4992463																																																																																																					
11	0.0000000																																																																																																					
12	0.0002454																																																																																																					
13	0.0012618																																																																																																					
14	0.0278223																																																																																																					
15	0.1497563																																																																																																					
16	0.2416814																																																																																																					
17	0.3128931																																																																																																					
18	0.3608022																																																																																																					
19	0.4045404																																																																																																					
20	0.0000000																																																																																																					
21	0.0002279																																																																																																					
22	0.0182914																																																																																																					
23	0.1127436																																																																																																					
24	0.1811023																																																																																																					
25	0.2319795																																																																																																					
26	0.2643223																																																																																																					
27	0.2936116																																																																																																					
28	0.0000000																																																																																																					
29	0.0086566																																																																																																					
30	0.0703344																																																																																																					
31	0.1135025																																																																																																					
32	0.1438196																																																																																																					
33	0.1615040																																																																																																					
34	0.1774183																																																																																																					
35	0.0000000																																																																																																					
36	0.0183151																																																																																																					
37	0.0331403																																																																																																					
38	0.0425225																																																																																																					
39	0.0470421																																																																																																					
40	0.0512533																																																																																																					
41	0.0000000																																																																																																					
42	0.0000056																																																																																																					
43	0.0000209																																																																																																					
44	0.0001940																																																																																																					
45	0.0002121																																																																																																					
46	0.0000000																																																																																																					
47	0.0000025																																																																																																					
48	0.0001725																																																																																																					
49	0.0001987																																																																																																					
50	0.0000000																																																																																																					
51	0.0001111																																																																																																					
52	0.0001608																																																																																																					
53	0.0000000																																																																																																					
54	0.0000631																																																																																																					
55	0.0000000																																																																																																					
56	0.0000001																																																																																																					
57	0.0000367																																																																																																					
58	0.0008247																																																																																																					
59	0.0036270																																																																																																					
60	0.0477779																																																																																																					
61	0.3365684																																																																																																					
62	0.6037584																																																																																																					
63	0.8218185																																																																																																					
64	0.9829330																																																																																																					
65	1.1204480																																																																																																					
66	0.0000003																																																																																																					
67	0.0004845																																																																																																					
68	0.0024382																																																																																																					
69	0.0409111																																																																																																					
70	0.2981666																																																																																																					
71	0.5264876																																																																																																					
72	0.7063050																																																																																																					
73	0.8342607																																																																																																					
74	0.9413963																																																																																																					
75	0.0001564																																																																																																					
76	0.0011463																																																																																																					
77	0.0320005																																																																																																					
78	0.2471488																																																																																																					
79	0.4275366																																																																																																					
80	0.5630378																																																																																																					
81	0.6546582																																																																																																					
82	0.7296478																																																																																																					
83	0.0002084																																																																																																					
84	0.0214098																																																																																																					
85	0.1807056																																																																																																					
86	0.3037890																																																																																																					
87	0.3903410																																																																																																					
88	0.4446768																																																																																																					
89	0.4879965																																																																																																					
90	0.0077188																																																																																																					
91	0.0891173																																																																																																					
92	0.1455272																																																																																																					
93	0.1815358																																																																																																					
94	0.2014943																																																																																																					
95	0.2170290																																																																																																					
96	0.0018243																																																																																																					
97	0.0043718																																																																																																					
98	0.0062838																																																																																																					
99	0.0072952																																																																																																					
100	0.0080481																																																																																																					
101	0.0000006																																																																																																					
102	0.0001794																																																																																																					
103	0.0007259																																																																																																					
104	0.0009264																																																																																																					
105	0.0000550																																																																																																					
106	0.0006205																																																																																																					
107	0.0008309																																																																																																					
108	0.0002945																																																																																																					
109	0.0006099																																																																																																					
110	0.0000819																																																																																																					
111	0.0000027																																																																																																					
112	0.0001755																																																																																																					
113	0.0011059																																																																																																					
114	0.0045980																																																																																																					
115	0.0553129																																																																																																					
116	0.3927252																																																																																																					
117	0.8517023																																																																																																					
118	1.2272806																																																																																																					
119	1.5111013																																																																																																					
120	1.7569915																																																																																																					
121	0.0000294																																																																																																					
122	0.0007041																																																																																																					
123	0.0032745																																																																																																					
124	0.0483840																																																																																																					
125	0.3551473																																																																																																					
126	0.7592839																																																																																																					
127	1.0775681																																																																																																					
128	1.3095442																																																																																																					
129	1.5068586																																																																																																					
130	0.0004807																																																																																																					
131	0.0023099																																																																																																					
132	0.0407427																																																																																																					
133	0.3083487																																																																																																					
134	0.6450174																																																																																																					
135	0.8967245																																																																																																					
